Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short       ,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts      ,Total Short Contracts,Date
FII,16621,185135,3412601,2067839,251762,427322,297771,141303,22567,46159,40088,22434,4177032,2754569,28-08-2025
Pro,31847,27134,594074,177902,537797,603008,586814,498316,274237,458163,498789,254622,2499126,2043577,28-08-2025
TOTAL,329778,329778,6602531,6602531,2513452,2191014,2513452,2191014,1072974,890343,1072974,890343,13600092,13600092,28-08-2025
Client,214659,84343,2477298,239074,2635383,1522862,2496023,2020655,961696,455853,683364,700994,8267751,6224453,29-08-2025
DII,74840,38006,160600,4185943,370,34939,0,0,2038,0,23518,0,272787,4247467,29-08-2025
FII,18187,193382,3437632,2067816,415906,523898,491059,248841,36383,62511,55614,33594,4494518,3090305,29-08-2025
Pro,34767,26722,612433,195130,1015271,890572,1079848,702776,377738,542032,615359,325808,3472813,2945643,29-08-2025
TOTAL,342453,342453,6687963,6687963,4066930,2972272,4066930,2972272,1377855,1060396,1377855,1060396,16507868,16507868,29-08-2025
Client,215040,85594,2483071,251556,2505461,2370830,2474990,2782888,1036471,526719,779804,745468,9137592,7120300,01-09-2025
DII,74724,40406,161173,4219457,370,34939,0,0,2038,0,56990,0,273244,4316853,01-09-2025
FII,19646,192193,3451292,2034134,388829,586370,440532,390020,40901,70508,65708,41459,4557545,3164046,01-09-2025
Pro,34938,26155,611712,202101,1012858,1365054,991995,1184285,476712,568891,653620,379191,4070165,3437347,01-09-2025
TOTAL,344348,344348,6707248,6707248,3907518,4357193,3907518,4357193,1556122,1166118,1556122,1166118,18038546,18038546,01-09-2025
Client,216275,86175,2496227,254947,1595051,1156355,1540853,1634705,1108394,549646,835404,789993,7121948,5142077,02-09-2025
DII,74965,40806,167675,4212135,370,34939,0,0,2178,0,69389,0,280127,4322330,02-09-2025
FII,17220,197645,3438460,2025750,252789,450744,290844,152878,49507,81501,73945,48322,4290222,2789384,02-09-2025
Pro,39974,23808,597382,206912,548753,678558,565266,533013,516142,605246,697483,398078,2986055,2424560,02-09-2025
TOTAL,348434,348434,6699744,6699744,2396963,2320596,2396963,2320596,1676221,1236393,1676221,1236393,14678351,14678351,02-09-2025
Client,216745,85485,2525482,264716,1855428,1879058,1899385,2258596,1192707,605326,910160,837862,8274746,6256204,03-09-2025
DII,75194,39506,173693,4220715,970,34939,0,0,2353,0,80960,0,287149,4341181,03-09-2025
FII,17606,200402,3415196,2031123,328489,519945,391345,300650,53782,87769,81873,54730,4422787,3060123,03-09-2025
Pro,37992,22144,614109,211926,743115,967743,637272,842439,568397,637231,744246,437734,3568587,2895761,03-09-2025
TOTAL,347537,347537,6728480,6728480,2928003,3401685,2928003,3401685,1817239,1330326,1817239,1330326,16553270,16553270,03-09-2025
Client,217226,86646,2541542,273196,2738331,1970719,2657689,2445711,1344799,620395,979211,873454,9433012,7315908,04-09-2025
DII,75521,41343,184779,4197781,970,34939,0,0,2271,0,89754,0,298480,4328878,04-09-2025
FII,18068,206645,3401019,2049085,412100,564196,471503,293796,58919,90673,89614,59837,4544975,3170480,04-09-2025
Pro,43865,20046,613347,220625,992244,958199,1014452,788546,588007,681222,835417,458999,3876884,3338085,04-09-2025
TOTAL,354680,354680,6740687,6740687,4143645,3528053,4143645,3528053,1993996,1392290,1993996,1392290,18153351,18153351,04-09-2025
Client,217989,87353,2548377,276899,2842453,2145395,2817800,2577950,1378687,665772,1014291,903323,9798673,7677616,05-09-2025
DII,75862,38993,189359,4209326,970,37539,0,0,1863,0,114161,0,305593,4362480,05-09-2025
FII,16715,208130,3400599,2051021,487024,621360,529256,336406,63159,93806,96715,69782,4682663,3291310,05-09-2025
Pro,46620,22710,630501,231590,1085406,1040126,1068797,930064,632394,707325,850936,493798,4142372,3597895,05-09-2025
TOTAL,357186,357186,6768836,6768836,4415853,3844420,4415853,3844420,2076103,1466903,2076103,1466903,18929301,18929301,05-09-2025
Client,219016,85968,2559870,287119,2900870,2413966,2900550,2870311,1428691,719981,1057817,939493,10242394,8141258,08-09-2025
DII,75800,37703,191904,4232344,970,37539,0,0,1863,0,131015,0,308076,4401062,08-09-2025
FII,18193,209553,3415244,2047788,562423,697622,554786,411510,67833,98675,100291,70822,4859990,3394750,08-09-2025
Pro,41968,21753,651990,251757,1194907,1294890,1203834,1162196,674626,723352,883890,531693,4581733,4055123,08-09-2025
TOTAL,354977,354977,6819008,6819008,4659170,4444017,4659170,4444017,2173013,1542008,2173013,1542008,19992193,19992193,08-09-2025
Client,218724,86354,2578885,294255,1553308,1358054,1535423,1759413,1553480,761471,1100416,974209,8023922,5750071,09-09-2025
DII,75600,37703,193836,4235877,970,37539,0,0,2013,0,148498,0,309958,4422078,09-09-2025
FII,20018,209868,3414716,2047519,279565,467098,298800,189896,70465,101037,102451,72177,4352898,2920711,09-09-2025
Pro,41807,22224,653016,262802,571950,674870,571570,588251,675020,741620,949613,557742,3358284,2952202,09-09-2025
TOTAL,356149,356149,6840453,6840453,2405793,2537561,2405793,2537561,2300978,1604128,2300978,1604128,16045061,16045061,09-09-2025
Client,212107,85476,2559161,282599,1974113,1950202,1963049,2332358,1589960,791247,1132276,1002195,9076790,6797953,10-09-2025
DII,78043,39503,196633,4249862,970,27445,0,0,2091,0,160693,0,305182,4450058,10-09-2025
FII,23924,210064,3418777,2042910,332668,536331,385732,295980,76877,105513,103809,76168,4494090,3114663,10-09-2025
Pro,44185,23216,660338,259538,768304,964454,727274,850094,700803,758488,972953,576885,3896572,3409960,10-09-2025
TOTAL,358259,358259,6834909,6834909,3076055,3478432,3076055,3478432,2369731,1655248,2369731,1655248,17772634,17772634,10-09-2025
Client,211045,84736,2583584,286304,2210104,2410003,2282471,2737740,1704130,814639,1178591,1030754,9933505,7600596,11-09-2025
DII,78043,39503,196682,4248290,970,27445,0,0,2091,0,168575,0,305231,4456368,11-09-2025
FII,25119,207919,3405470,2068655,378573,589398,409064,330311,74701,107961,106853,79423,4581222,3202225,11-09-2025
Pro,39629,21678,682920,265407,971884,1092433,869995,1051229,718532,792442,1045435,604865,4297841,3858610,11-09-2025
TOTAL,353836,353836,6868656,6868656,3561531,4119280,3561531,4119280,2499454,1715042,2499454,1715042,19117799,19117799,11-09-2025
Client,205394,83097,2581066,295041,2257645,2778612,2393459,3074165,1780022,856971,1215735,1057197,10459710,8118694,12-09-2025
DII,78054,39503,197858,4246237,970,27445,0,0,2211,0,170597,0,306538,4456337,12-09-2025
FII,26661,199010,3414956,2068386,456539,678980,457311,402704,77778,111769,111388,83401,4766683,3322200,12-09-2025
Pro,36120,24619,693386,277602,1043494,1233522,907878,1241690,743865,816369,1106156,644511,4566756,4202456,12-09-2025
TOTAL,346229,346229,6887266,6887266,3758648,4718559,3758648,4718559,2603876,1785109,2603876,1785109,20099687,20099687,12-09-2025
Client,206755,82406,2604905,298867,2779958,2729008,2762466,3144706,1904671,876605,1252975,1084931,11101901,8626351,15-09-2025
DII,78054,41203,197094,4263774,970,27445,0,0,2261,0,190210,0,305824,4495187,15-09-2025
FII,26579,197735,3400446,2078790,499486,717993,535925,430567,80433,113338,115542,85017,4838275,3443577,15-09-2025
Pro,35372,25416,718456,279470,1173317,1333774,1155339,1232946,756135,844980,1184773,664975,4862034,4542919,15-09-2025
TOTAL,346760,346760,6920901,6920901,4453730,4808220,4453730,4808220,2743500,1834923,2743500,1834923,21108034,21108034,15-09-2025
Client,199829,82089,2605359,308136,1425706,1642876,1470393,1942718,1886412,922648,1277234,1106408,8682829,6186978,16-09-2025
DII,79769,40537,196521,4260175,970,27445,0,0,2261,0,193380,0,306966,4494092,16-09-2025
FII,26430,185991,3423953,2092311,298333,490570,308570,229468,83072,114255,117096,88216,4436612,3021652,16-09-2025
Pro,33406,30817,727862,293073,602238,724840,548283,713544,804879,851602,1188914,693881,3744827,3468512,16-09-2025
TOTAL,339434,339434,6953695,6953695,2327246,2885730,2327246,2885730,2776624,1888505,2776624,1888505,17171235,17171235,16-09-2025
Client,195075,82257,2604639,318266,1750202,1938105,1852984,2262347,1962301,965204,1309245,1149376,9415526,6974475,17-09-2025
DII,81097,39971,205860,4255042,970,37845,0,0,2302,0,201046,0,328074,4496059,17-09-2025
FII,27064,177724,3430475,2101997,375596,547466,386440,304838,88221,122759,122735,95281,4591582,3189014,17-09-2025
Pro,30122,33406,746247,311916,809404,950549,696749,906781,844996,890072,1264794,733378,4271391,3947024,17-09-2025
TOTAL,333358,333358,6987221,6987221,2936172,3473966,2936172,3473966,2897820,1978035,2897820,1978035,18606572,18606572,17-09-2025
Client,189243,80314,2612825,323006,2157714,2298331,2307126,2712851,2026368,976654,1348505,1171336,10261135,7943139,18-09-2025
DII,83380,39971,209067,4256764,963,41245,0,0,2302,0,210019,0,336957,4506754,18-09-2025
FII,27813,171472,3444136,2115165,431295,616493,419058,340222,95099,127524,126406,97491,4742360,3269814,18-09-2025
Pro,29876,38555,755762,326855,949095,1105542,812883,1008537,880521,914253,1319360,749604,4635049,4255794,18-09-2025
TOTAL,330312,330312,7021790,7021790,3539067,4061611,3539067,4061611,3004290,2018431,3004290,2018431,19975501,19975501,18-09-2025
Client,193006,79469,2632234,329798,2735289,2364189,2791042,2739076,2130581,984326,1382632,1192625,11039625,8514642,19-09-2025
DII,83556,40546,199300,4259402,963,40045,0,0,2302,0,218590,0,326166,4518538,19-09-2025
FII,25482,172255,3471838,2147198,524961,635317,490990,367142,96731,127039,130076,101162,4881369,3408823,19-09-2025
Pro,26010,35784,792926,359900,1074220,1105083,1053401,1038417,901527,949398,1399843,766976,4849164,4654321,19-09-2025
TOTAL,328054,328054,7096298,7096298,4335433,4144634,4335433,4144634,3131141,2060763,3131141,2060763,21096323,21096323,19-09-2025
Client,191282,83494,2642302,346142,3346119,2284800,3326349,2716171,2251048,967832,1402522,1211640,11683383,9086318,22-09-2025
DII,83104,40546,211740,4262643,963,36595,0,0,2196,0,226140,0,334598,4529329,22-09-2025
FII,26056,170310,3481617,2170012,582366,667889,616549,381910,95203,127312,128144,98464,4980443,3565389,22-09-2025
Pro,27140,33232,835178,392040,1482043,1107789,1468593,998992,928316,999061,1519957,784101,5379527,5196915,22-09-2025
TOTAL,327582,327582,7170837,7170837,5411491,4097073,5411491,4097073,3276763,2094205,3276763,2094205,22377950,22377950,22-09-2025
Client,192884,83282,2646984,349476,1774611,1551988,1803938,1900239,2289582,968557,1424698,1215115,9424606,6776749,23-09-2025
DII,84184,38946,218333,4281903,963,36845,0,0,2256,0,226510,0,342581,4547359,23-09-2025
FII,27060,169238,3501287,2178090,313723,505629,346177,238258,94686,126524,122296,95736,4568909,3149795,23-09-2025
Pro,24122,36784,873947,431082,683097,697310,622279,653274,958917,1017613,1571937,801843,4255006,4117199,23-09-2025
